gene_id,Exercise_main_log2FoldChange,Exercise_main_padj,Exercise_main_baseMean
ENSMUST00000148235.8-chr8:117616515-117637947_F:0_P:4_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.4-chr8:117616515-117637947_F:0_P:3_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.2-chr8:117616515-117637947_F:0_P:13_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.7-chr8:117616515-117637947_F:0_P:4_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.1-chr8:117616515-117637947_F:0_P:4_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.11-chr8:117616515-117637947_F:0_P:4_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.10-chr8:117616515-117637947_F:1_P:6_M,0.642966188904421,1.70191018455281e-05,299.878346668037
MSTRG.59459.13-chr8:117616515-117637947_F:0_P:2_M,0.642966188904421,1.70191018455281e-05,299.878346668037
sp|Q8K199|COXM2_MOUSE_COX_assembly_mitochondrial_protein_2_homolog_OS=Mus_musculus_OX=10090_GN=Cmc2_PE=3_SV=1_ANNO,0.642966188904421,1.70191018455281e-05,299.878346668037
ENSMUST00000020501.15+chr10:77442155-77452089_F:2_P:1_M,-0.267718265576878,0.0496292239839371,566.11602241967
sp|Q9Z172|SUMO3_MOUSE_Small_ubiquitin-related_modifier_3_OS=Mus_musculus_OX=10090_GN=Sumo3_PE=1_SV=1_ANNO,-0.267718265576878,0.0496292239839371,566.11602241967
ENSMUST00000235973.2+chr18:46740767-46741198_F:1_P:25_M,0.375597232919855,0.0374280719635144,238.012963370111
MSTRG.29109.8+chr18:46740767-46741198_F:2_P:40_M,0.375597232919855,0.0374280719635144,238.012963370111
ENSMUST00000078079.11+chr18:46740767-46741198_F:1_P:2_M,0.375597232919855,0.0374280719635144,238.012963370111
ENSMUST00000235455.2+chr18:46740767-46741198_F:2_P:4_M,0.375597232919855,0.0374280719635144,238.012963370111
